role_id,source_version,city,province,family_size,generation_category,older_member_present,weekday_day_presence,evening_presence,routine_regularity,monthly_income_scenario_yuan,monthly_bill_scenario_yuan,bill_pressure_description,budget_explanation,tradeoff_condition,cost_importance_1_5,comfort_importance_1_5,grid_importance_1_5,control_condition,housing_form,h7_room_category,h7_room_minimum,h6_design_building_area_m2,h6_area_basis,whole_dwelling_building_area_m2,whole_dwelling_area_status,household_accounted_net_area_m2,whole_dwelling_modeled_net_area_m2,selected_controlled_zone_area_m2,common_allocated_area_m2,other_resident_count,building_type,virtual_building_id,housing_mode,source_catalog_key,weather_station_key,weather_station_distance_km,private_control_scope,home_charging_access,home_ev_driver_member_id,role_card_short,actor_card_full,event_presence_status,participant_feedback_status,simulation_result_status,population_weight_status,owned_ac_unit_count,eb_controllable_ac_unit_count,eb_selected_ac_zone_count,synthetic_owned_device_types,eb_intervention_device_types,owned_background_excluded_device_types
cityrole-0011,v2_control1_D_inputs,西安市,陕西,2,1,1,sometimes_occupied,partly_home,partly_regular,6400,520,电费可承担，但会留意变化,本月电费可承担，但家庭会留意它的变化。,comfort_priority,1,5,2,confirm_required,independent_dwelling,two_rooms,2,109.0,synthetic_H6_like_whole_dwelling_building_area,109.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,81.954887,81.954887,81.954887,0,NOT_APPLICABLE,apartment,cn-home-0011,self_contained_openplan,Low-rise apartment_Xian_2010,CHN_Shaanxi.Xian.570360_CSWD,5.251,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0011｜陕西西安市｜本户2人；独立住房设计建筑面积109.0㎡。原合成持有设备：ac,dishwasher,washer；本次EB纳入：ac,dishwasher,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0011｜陕西西安市｜本户2人。独立住房设计建筑面积109.0㎡。
原合成持有设备：ac,dishwasher,washer；本次EB纳入：ac,dishwasher,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,dishwasher,washer","ac,dishwasher,washer",none
cityrole-0012,v2_control1_D_inputs,重庆市,重庆,1,1,1,sometimes_occupied,partly_home,partly_regular,2000,120,电费可承担，但会留意变化,本月电费可承担，但家庭会留意它的变化。,saving_priority,5,1,1,confirm_required,independent_dwelling,one_room,1,34.5,synthetic_H6_like_whole_dwelling_building_area,34.5,EXPERIMENTAL_DESIGN_NOT_OBSERVED,25.93985,25.93985,25.93985,0,NOT_APPLICABLE,apartment,cn-home-0012,self_contained_openplan,Low-rise apartment_Youyang_2001,CHN_Chongqing.Chongqing.Shapingba.575160_CSWD,5.879,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0012｜重庆重庆市｜本户1人；独立住房设计建筑面积34.5㎡。原合成持有设备：dryer,washer；本次EB纳入：washer；空调持有0台，本次可控0台。","【v2隔离合成角色；无真人回答】
cityrole-0012｜重庆重庆市｜本户1人。独立住房设计建筑面积34.5㎡。
原合成持有设备：dryer,washer；本次EB纳入：washer；空调持有0台，本次可控0台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,0,0,0,"dryer,washer",washer,dryer
cityrole-0013,v2_control1_D_inputs,重庆市,重庆,2,2,0,mostly_occupied,partly_home,irregular,13000,520,电费可承担，但会留意变化,本月电费可承担，但家庭会留意它的变化。,both_high,5,5,1,low_auto_accept,independent_dwelling,three_rooms,3,49.0,synthetic_H6_like_whole_dwelling_building_area,49.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,36.842105,36.842105,36.842105,0,NOT_APPLICABLE,apartment,cn-home-0013,self_contained_source_three_room,Low-rise apartment_Youyang_2001,CHN_Chongqing.Chongqing.Shapingba.575160_CSWD,5.879,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0013｜重庆重庆市｜本户2人；独立住房设计建筑面积49.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。","【v2隔离合成角色；无真人回答】
cityrole-0013｜重庆重庆市｜本户2人。独立住房设计建筑面积49.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,2,2,2,"ac,washer","ac,washer",none
cityrole-0014,v2_control1_D_inputs,北京市,北京,2,2,0,sometimes_occupied,partly_home,partly_regular,4000,220,电费超出预算会挤占必要支出,必要生活开支较多，本月电费变化容易挤占其他项目。,saving_priority,5,1,3,high_trust_auto,independent_dwelling,two_rooms,2,69.0,synthetic_H6_like_whole_dwelling_building_area,69.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,51.879699,51.879699,51.879699,0,NOT_APPLICABLE,apartment,cn-home-0014,self_contained_openplan,High-rise apartment(slab type)_Beijing_2010,CHN_Beijing.Beijing.545110_CSWD,16.45,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0014｜北京北京市｜本户2人；独立住房设计建筑面积69.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0014｜北京北京市｜本户2人。独立住房设计建筑面积69.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,washer","ac,washer",none
cityrole-0015,v2_control1_D_inputs,长春市,吉林,4,3,0,mostly_occupied,partly_home,partly_regular,18000,720,电费不构成当前预算约束,本月电费占可安排预算较小。,saving_priority,5,1,5,low_auto_accept,independent_dwelling,two_rooms,2,300.0,synthetic_H6_like_whole_dwelling_building_area,300.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,225.56391,225.56391,225.56391,0,NOT_APPLICABLE,apartment,cn-home-0015,self_contained_openplan,Low-rise apartment_Changchun_2010,CHN_Jilin.Changchun.541610_CSWD,7.064,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0015｜吉林长春市｜本户4人；独立住房设计建筑面积300.0㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0015｜吉林长春市｜本户4人。独立住房设计建筑面积300.0㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,washer","ac,washer",none
cityrole-0016,v2_control1_D_inputs,上海市,上海,2,1,0,variable,varies,irregular,13000,520,电费有压力，需调整其他开支,本月收入已有其他固定支出安排，可灵活调整的预算较紧。,both_low,2,2,5,low_auto_accept,independent_dwelling,two_rooms,2,69.0,synthetic_H6_like_whole_dwelling_building_area,69.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,51.879699,51.879699,51.879699,0,NOT_APPLICABLE,apartment,cn-home-0016,self_contained_openplan,High-rise apartment(slab type)_Shanghai_2001,CHN_Shanghai.Shanghai.583620_CSWD,20.633,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0016｜上海上海市｜本户2人；独立住房设计建筑面积69.0㎡。原合成持有设备：ac,dryer,washer；本次EB纳入：ac,dryer,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0016｜上海上海市｜本户2人。独立住房设计建筑面积69.0㎡。
原合成持有设备：ac,dryer,washer；本次EB纳入：ac,dryer,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,dryer,washer","ac,dryer,washer",none
cityrole-0017,v2_control1_D_inputs,南京市,江苏,1,1,1,sometimes_occupied,partly_home,partly_regular,6500,120,电费有压力，需调整其他开支,本月收入已有其他固定支出安排，可灵活调整的预算较紧。,comfort_priority,2,4,1,high_trust_auto,independent_dwelling,two_rooms,2,44.5,synthetic_H6_like_whole_dwelling_building_area,44.5,EXPERIMENTAL_DESIGN_NOT_OBSERVED,33.458647,33.458647,33.458647,0,NOT_APPLICABLE,apartment,cn-home-0017,self_contained_openplan,High-rise apartment(slab type)_Nanjing_2001,CHN_Jiangsu.Nanjing.582380_CSWD,88.368,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0017｜江苏南京市｜本户1人；独立住房设计建筑面积44.5㎡。原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。","【v2隔离合成角色；无真人回答】
cityrole-0017｜江苏南京市｜本户1人。独立住房设计建筑面积44.5㎡。
原合成持有设备：ac,washer；本次EB纳入：ac,washer；空调持有2台，本次可控2台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,2,2,2,"ac,washer","ac,washer",none
cityrole-0018,v2_control1_D_inputs,包头市,内蒙古,1,1,0,variable,varies,irregular,4500,540,电费超出预算会挤占必要支出,必要生活开支较多，本月电费变化容易挤占其他项目。,middle,3,3,4,high_trust_auto,independent_dwelling,two_rooms,2,44.5,synthetic_H6_like_whole_dwelling_building_area,44.5,EXPERIMENTAL_DESIGN_NOT_OBSERVED,33.458647,33.458647,33.458647,0,NOT_APPLICABLE,apartment,cn-home-0018,self_contained_openplan,Low-rise apartment_Dongsheng_2010,CHN_Nei.Mongol.Dongsheng.535430_CSWD,93.05,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0018｜内蒙古包头市｜本户1人；独立住房设计建筑面积44.5㎡。原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0018｜内蒙古包头市｜本户1人。独立住房设计建筑面积44.5㎡。
原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,electric_water_heater,washer","ac,electric_water_heater,washer",none
cityrole-0019,v2_control1_D_inputs,重庆市,重庆,1,1,0,sometimes_occupied,partly_home,partly_regular,2000,240,电费不构成当前预算约束,家庭已为当前电费预留预算，按这个金额可以承担；增加用电仍需重新权衡。,comfort_priority,2,4,3,low_auto_accept,independent_dwelling,two_rooms,2,34.5,synthetic_H6_like_whole_dwelling_building_area,34.5,EXPERIMENTAL_DESIGN_NOT_OBSERVED,25.93985,25.93985,25.93985,0,NOT_APPLICABLE,apartment,cn-home-0019,self_contained_openplan,Low-rise apartment_Youyang_2001,CHN_Chongqing.Chongqing.Shapingba.575160_CSWD,5.879,D_selected_EB_devices_and_private_AC_zones,0,,"【v2隔离合成角色；无真人回答】cityrole-0019｜重庆重庆市｜本户1人；独立住房设计建筑面积34.5㎡。原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。","【v2隔离合成角色；无真人回答】
cityrole-0019｜重庆重庆市｜本户1人。独立住房设计建筑面积34.5㎡。
原合成持有设备：ac,electric_water_heater,washer；本次EB纳入：ac,electric_water_heater,washer；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,"ac,electric_water_heater,washer","ac,electric_water_heater,washer",none
cityrole-0020,v2_control1_D_inputs,北京市,北京,3,3,0,mostly_occupied,partly_home,partly_regular,6000,520,电费有余量，通常不需改变开支,家庭已为当前电费预留预算，按这个金额可以承担；增加用电仍需重新权衡。,both_low,2,2,4,low_auto_accept,independent_dwelling,two_rooms,2,54.0,synthetic_H6_like_whole_dwelling_building_area,54.0,EXPERIMENTAL_DESIGN_NOT_OBSERVED,40.601504,40.601504,40.601504,0,NOT_APPLICABLE,apartment,cn-home-0020,self_contained_openplan,Low-rise apartment_Beijing_2010,CHN_Beijing.Beijing.545110_CSWD,16.45,D_selected_EB_devices_and_private_AC_zones,0,,【v2隔离合成角色；无真人回答】cityrole-0020｜北京北京市｜本户3人；独立住房设计建筑面积54.0㎡。原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。,"【v2隔离合成角色；无真人回答】
cityrole-0020｜北京北京市｜本户3人。独立住房设计建筑面积54.0㎡。
原合成持有设备：ac；本次EB纳入：ac；空调持有1台，本次可控1台。
收入、电费、设备习惯与控制偏好均为实验情境；事件当天是否有人在受控房间未知。",UNKNOWN,NOT_COLLECTED,D_G_RESULTS_NOT_IN_FIXED_ROLE_CSV,UNKNOWN,1,1,1,ac,ac,none
